maintenance_id,event_id,equipment_id,opened_at,closed_at,intervention_type,outcome,downtime_minutes,labor_hours,parts_cost_eur,parts_replaced_count,work_order_note,period
MNT-2026S1-0049,EVT-2026S1-0383,EQ-COMP-113,2026-02-04T15:45:00Z,2026-02-04T19:38:00Z,replacement,resolved,233,6.53,151.7,1,Intervention préventive conforme au plan.,2026-S1
MNT-2026S1-0050,EVT-2026S1-0081,EQ-PUMP-391,2026-05-30T11:48:00Z,2026-05-30T15:17:00Z,preventive,no_fault_found,209,4.09,178.4,1,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1
MNT-2026S1-0051,EVT-2026S1-0325,EQ-ROBOT-375,2026-05-30T09:25:00Z,2026-05-30T12:25:00Z,replacement,resolved,180,4.48,53.8,0,Intervention préventive conforme au plan.,2026-S1
MNT-2026S1-0052,EVT-2026S1-X026,EQ-MIX-379,2026-03-08T18:58:00Z,2026-03-08T20:34:00Z,replacement,follow_up_required,96,0.49,5.83,0,Pièce remplacée puis remise en service progressive.,2026-S1
MNT-2026S1-0053,EVT-2026S1-0216,EQ-CONV-376,2026-05-31T07:10:00Z,2026-05-31T11:14:00Z,inspection,parts_ordered,244,5.04,60.49,0,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0054,EVT-2026S1-0074,EQ-PRESS-314,2026-05-22T19:46:00Z,2026-05-22T23:51:00Z,inspection,parts_ordered,245,7.3,264.43,3,Intervention préventive conforme au plan.,2026-S1
MNT-2026S1-0055,EVT-2026S1-0259,EQ-COMP-249,2026-03-25T13:59:00Z,2026-03-25T17:17:00Z,preventive,resolved,198,5.35,262.65,2,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0056,EVT-2026S1-0070,EQ-PUMP-270,2026-05-07T23:09:00Z,2026-05-08T01:44:00Z,inspection,resolved,155,3.84,258.28,1,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0057,EVT-2026S1-0098,EQ-ROBOT-278,2026-01-29T23:06:00Z,2026-01-30T01:18:00Z,inspection,monitoring,132,3.71,44.46,0,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1
MNT-2026S1-0058,EVT-2026S1-0345,EQ-ROBOT-295,2026-05-12T20:25:00Z,2026-05-12T23:46:00Z,replacement,no_fault_found,201,4.44,182.39,2,Contrôle visuel et essai fonctionnel réalisés.,2026-S1
MNT-2026S1-0059,EVT-2026S1-0027,EQ-PUMP-002,2026-04-03T15:46:00Z,2026-04-03T16:06:00Z,preventive,monitoring,20,0.51,,0,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0060,EVT-2026S1-0121,EQ-PUMP-231,2026-02-06T15:57:00Z,2026-02-06T18:26:00Z,inspection,resolved,149,2.95,280.87,2,Contrôle visuel et essai fonctionnel réalisés.,2026-S1
MNT-2026S1-0061,EVT-2026S1-0337,EQ-PUMP-207,2026-02-23T18:36:00Z,2026-02-23T21:45:00Z,corrective,no_fault_found,189,4.65,296.48,1,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0062,EVT-2026S1-0279,EQ-COMP-169,2026-03-02T14:18:00Z,2026-03-02T15:28:00Z,corrective,monitoring,70,4.02,293.91,2,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0063,EVT-2026S1-0141,EQ-PUMP-151,2026-04-19T00:41:00Z,2026-04-19T03:38:00Z,replacement,follow_up_required,177,4.94,238.53,1,Pièce remplacée puis remise en service progressive.,2026-S1
MNT-2026S1-0064,EVT-2026S1-0361,EQ-PUMP-171,2026-06-11T23:12:00Z,2026-06-12T02:51:00Z,corrective,follow_up_required,219,4.88,240.7,2,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0065,EVT-2026S1-0311,EQ-EXTRA-405,2026-03-08T02:19:00Z,2026-03-08T02:42:00Z,corrective,parts_ordered,23,1.91,452.88,2,Contrôle visuel et essai fonctionnel réalisés.,2026-S1
MNT-2026S1-0066,EVT-2026S1-0070,EQ-PUMP-270,2026-05-07T21:06:00Z,2026-05-08T00:06:00Z,calibration,no_fault_found,180,5.16,61.95,0,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0067,EVT-2026S1-0496,EQ-VALVE-156,2026-03-10T13:55:00Z,2026-03-10T14:15:00Z,calibration,parts_ordered,20,1.09,13.09,0,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1
MNT-2026S1-0068,EVT-2026S1-X004,EQ-OVEN-123,2026-03-04T02:25:00Z,2026-03-04T05:02:00Z,replacement,monitoring,157,3.06,217.06,2,Pièce remplacée puis remise en service progressive.,2026-S1
MNT-2026S1-0069,EVT-2026S1-X039,EQ-CONV-376,2026-04-27T23:59:00Z,2026-04-28T02:15:00Z,corrective,follow_up_required,136,2.03,24.38,0,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0070,EVT-2026S1-0078,EQ-ROBOT-358,2026-01-23T23:05:00Z,2026-01-24T00:43:00Z,inspection,follow_up_required,98,3.16,37.98,0,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0071,EVT-2026S1-0044,EQ-FAN-284,2026-02-24T00:16:00Z,2026-02-24T04:48:00Z,replacement,no_fault_found,272,8.11,386.45,3,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0072,EVT-2026S1-0410,EQ-VALVE-110,2026-02-06T14:54:00Z,2026-02-06T17:05:00Z,preventive,resolved,131,1.76,21.1,0,Contrôle visuel et essai fonctionnel réalisés.,2026-S1
MNT-2026S1-0073,EVT-2026S1-0067,EQ-PRESS-237,2026-02-24T22:51:00Z,2026-02-25T03:36:00Z,preventive,no_fault_found,285,6.08,72.93,0,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1
MNT-2026S1-0074,EVT-2026S1-0014,EQ-PRESS-002,2026-03-28T19:23:00Z,,replacement,parts_ordered,307,7.27,188.4,1,Contrôle visuel et essai fonctionnel réalisés.,2026-S1
MNT-2026S1-0075,EVT-2026S1-0066,EQ-OVEN-226,2026-02-03T21:20:00Z,2026-02-04T01:13:00Z,replacement,follow_up_required,233,5.51,241.25,1,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1
MNT-2026S1-0076,EVT-2026S1-0096,EQ-CONV-256,2026-05-09T18:02:00Z,2026-05-09T21:09:00Z,replacement,monitoring,187,4.58,226.28,2,Pièce remplacée puis remise en service progressive.,2026-S1
MNT-2026S1-0077,EVT-2026S1-0157,EQ-PUMP-327,2026-06-14T16:57:00Z,2026-06-14T19:25:00Z,calibration,no_fault_found,148,3.52,253.24,2,Contrôle visuel et essai fonctionnel réalisés.,2026-S1
MNT-2026S1-0078,EVT-2026S1-X052,EQ-SENSOR-185,2026-05-29T19:11:00Z,2026-05-29T20:22:00Z,preventive,no_fault_found,71,1.59,19.09,0,Pièce remplacée puis remise en service progressive.,2026-S1
MNT-2026S1-0079,EVT-2026S1-0411,EQ-GEAR-121,2026-01-29T12:33:00Z,2026-01-29T15:22:00Z,replacement,no_fault_found,169,4.9,58.75,0,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1
MNT-2026S1-0080,EVT-2026S1-0412,EQ-GEAR-132,2026-06-01T23:29:00Z,2026-06-02T01:41:00Z,corrective,monitoring,132,3.89,146.43,1,Intervention préventive conforme au plan.,2026-S1
MNT-2026S1-0081,EVT-2026S1-0356,EQ-CONV-116,2026-03-17T09:40:00Z,2026-03-17T11:38:00Z,preventive,follow_up_required,118,5.56,203.84,1,Intervention préventive conforme au plan.,2026-S1
MNT-2026S1-0082,EVT-2026S1-0299,EQ-COMP-389,2026-03-04T19:24:00Z,2026-03-04T22:07:00Z,preventive,monitoring,163,5.07,60.86,0,Contrôle visuel et essai fonctionnel réalisés.,2026-S1
MNT-2026S1-0083,EVT-2026S1-X048,EQ-CHILL-288,2026-03-27T19:24:00Z,2026-03-27T20:23:00Z,preventive,follow_up_required,59,3.59,43.14,0,Pièce remplacée puis remise en service progressive.,2026-S1
MNT-2026S1-0084,EVT-2026S1-0122,EQ-CONV-242,2026-02-28T04:16:00Z,2026-02-28T05:51:00Z,preventive,parts_ordered,95,2.7,32.45,0,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1
MNT-2026S1-0085,EVT-2026S1-0444,EQ-ROBOT-184,2026-03-24T02:01:00Z,2026-03-24T02:21:00Z,replacement,parts_ordered,20,1.7,20.42,0,Intervention préventive conforme au plan.,2026-S1
MNT-2026S1-0086,EVT-2026S1-0310,EQ-PUMP-210,2026-04-16T13:43:00Z,2026-04-16T16:18:00Z,replacement,monitoring,155,5.97,260.27,2,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0087,EVT-2026S1-X023,EQ-PUMP-351,2026-01-24T16:11:00Z,2026-01-24T17:57:00Z,calibration,monitoring,106,3.22,38.61,0,Contrôle visuel et essai fonctionnel réalisés.,2026-S1
MNT-2026S1-0088,EVT-2026S1-0389,EQ-MIX-179,2026-04-16T23:58:00Z,2026-04-17T01:24:00Z,inspection,parts_ordered,86,1.08,208.81,1,Contrôle visuel et essai fonctionnel réalisés.,2026-S1
MNT-2026S1-0089,EVT-2026S1-0269,EQ-MIX-359,2026-01-11T14:10:00Z,2026-01-11T16:06:00Z,replacement,no_fault_found,116,3.6,43.26,0,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0090,EVT-2026S1-0194,EQ-PRESS-134,2026-01-23T00:59:00Z,2026-01-23T05:35:00Z,inspection,no_fault_found,276,6.12,474.97,3,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0091,EVT-2026S1-0157,EQ-PUMP-327,2026-06-14T15:50:00Z,2026-06-14T18:20:00Z,preventive,monitoring,150,5.29,576.86,2,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1
MNT-2026S1-0092,EVT-2026S1-0435,EQ-STEAM-385,2026-05-30T01:08:00Z,2026-05-30T03:39:00Z,calibration,follow_up_required,151,3.48,41.78,0,Pièce remplacée puis remise en service progressive.,2026-S1
MNT-2026S1-0093,EVT-2026S1-0381,EQ-PUMP-391,2026-01-07T22:58:00Z,2026-01-08T02:40:00Z,replacement,follow_up_required,222,6.33,515.88,2,Contrôle visuel et essai fonctionnel réalisés.,2026-S1
MNT-2026S1-0094,EVT-2026S1-0281,EQ-PUMP-191,2026-03-07T00:04:00Z,2026-03-07T02:55:00Z,replacement,resolved,171,2.19,218.5,1,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1
MNT-2026S1-0095,EVT-2026S1-0323,EQ-COMP-353,2026-05-03T16:32:00Z,2026-05-03T20:25:00Z,replacement,monitoring,233,5.83,531.27,2,Pièce remplacée puis remise en service progressive.,2026-S1
MNT-2026S1-0096,EVT-2026S1-X023,EQ-PUMP-351,2026-01-24T15:02:00Z,2026-01-24T18:03:00Z,replacement,resolved,181,4.98,59.72,0,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1
MNT-2026S1-0097,EVT-2026S1-0043,EQ-COMP-273,2026-05-07T06:09:00Z,2026-05-07T09:44:00Z,replacement,resolved,215,3.57,168.16,3,Intervention préventive conforme au plan.,2026-S1
MNT-2026S1-0098,EVT-2026S1-0082,EQ-CONV-102,2026-05-11T06:18:00Z,2026-05-11T08:13:00Z,preventive,follow_up_required,115,3.29,,0,Pièce remplacée puis remise en service progressive.,2026-S1
MNT-2026S1-0099,EVT-2026S1-0157,EQ-PUMP-327,2026-06-14T15:36:00Z,2026-06-14T18:15:00Z,replacement,parts_ordered,159,4.74,56.9,0,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1
MNT-2026S1-0100,EVT-2026S1-0129,EQ-MIX-319,2026-06-15T03:48:00Z,2026-06-15T04:33:00Z,preventive,parts_ordered,45,3.63,466.95,2,Contrôle visuel et essai fonctionnel réalisés.,2026-S1
MNT-2026S1-0101,EVT-2026S1-0283,EQ-COMP-213,2026-03-21T21:06:00Z,2026-03-22T00:19:00Z,corrective,follow_up_required,193,5.69,68.27,0,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0102,EVT-2026S1-0298,EQ-ROBOT-378,2026-05-04T06:31:00Z,2026-05-04T07:50:00Z,preventive,no_fault_found,79,2.38,28.55,0,Contrôle visuel et essai fonctionnel réalisés.,2026-S1
MNT-2026S1-0103,EVT-2026S1-0030,EQ-OVEN-001,2026-05-04T17:10:00Z,2026-05-04T18:22:00Z,calibration,monitoring,72,0.65,7.77,0,Contrôle visuel et essai fonctionnel réalisés.,2026-S1
MNT-2026S1-0104,EVT-2026S1-0067,EQ-PRESS-237,2026-02-24T22:39:00Z,2026-02-25T01:49:00Z,replacement,parts_ordered,190,6.37,445.47,3,Contrôle visuel et essai fonctionnel réalisés.,2026-S1
MNT-2026S1-0105,EVT-2026S1-0097,EQ-PUMP-267,2026-05-05T12:42:00Z,2026-05-05T15:49:00Z,corrective,monitoring,187,4.43,53.21,0,Pièce remplacée puis remise en service progressive.,2026-S1
MNT-2026S1-0106,EVT-2026S1-0030,EQ-OVEN-001,2026-05-04T15:42:00Z,2026-05-04T16:45:00Z,inspection,resolved,63,0.37,4.39,0,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0107,EVT-2026S1-0251,EQ-SENSOR-165,2026-01-04T07:03:00Z,2026-01-04T08:26:00Z,calibration,no_fault_found,83,3.01,36.16,0,Intervention préventive conforme au plan.,2026-S1
MNT-2026S1-0108,EVT-2026S1-0070,EQ-PUMP-270,2026-05-07T23:24:00Z,2026-05-08T02:06:00Z,preventive,monitoring,162,3.64,84.03,1,Pièce remplacée puis remise en service progressive.,2026-S1
MNT-2026S1-0109,EVT-2026S1-X011,EQ-FAN-304,2026-01-20T08:31:00Z,2026-01-20T10:17:00Z,calibration,follow_up_required,106,1.44,573.94,3,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1
MNT-2026S1-0110,EVT-2026S1-0113,EQ-OVEN-143,2026-04-26T23:02:00Z,2026-04-26T23:50:00Z,corrective,no_fault_found,48,1.76,224.98,2,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0111,EVT-2026S1-0343,EQ-COMP-273,2026-02-28T21:22:00Z,,corrective,parts_ordered,144,3.15,148.04,1,Contrôle visuel et essai fonctionnel réalisés.,2026-S1
MNT-2026S1-0112,EVT-2026S1-0307,EQ-PRESS-177,2026-02-23T11:09:00Z,2026-02-23T15:59:00Z,corrective,monitoring,290,6.26,185.38,2,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1
MNT-2026S1-0113,EVT-2026S1-0177,EQ-PUMP-247,2026-01-31T17:26:00Z,2026-01-31T20:50:00Z,inspection,follow_up_required,204,5.08,110.98,1,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1
MNT-2026S1-0114,EVT-2026S1-0250,EQ-PUMP-150,2026-01-04T22:31:00Z,2026-01-05T00:34:00Z,calibration,monitoring,123,3.89,384.58,2,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1
MNT-2026S1-0115,EVT-2026S1-0442,EQ-ROBOT-162,2026-02-22T14:42:00Z,2026-02-22T16:56:00Z,calibration,no_fault_found,134,3.04,36.43,0,Contrôle visuel et essai fonctionnel réalisés.,2026-S1
MNT-2026S1-0116,EVT-2026S1-0388,EQ-CHILL-168,2026-03-20T05:54:00Z,2026-03-20T09:22:00Z,replacement,no_fault_found,208,5.25,62.98,0,Contrôle visuel et essai fonctionnel réalisés.,2026-S1
MNT-2026S1-0117,EVT-2026S1-0011,EQ-CONV-001,2026-01-03T04:14:00Z,2026-01-03T05:33:00Z,preventive,parts_ordered,79,1.74,20.88,0,Contrôle visuel et essai fonctionnel réalisés.,2026-S1
MNT-2026S1-0118,EVT-2026S1-0467,EQ-CONV-137,2026-01-24T18:09:00Z,2026-01-24T20:11:00Z,corrective,no_fault_found,122,4.69,247.21,2,Intervention préventive conforme au plan.,2026-S1
MNT-2026S1-0119,EVT-2026S1-X018,EQ-OVEN-186,2026-04-26T20:49:00Z,2026-04-26T21:33:00Z,replacement,no_fault_found,44,0.41,4.97,0,Pièce remplacée puis remise en service progressive.,2026-S1
MNT-2026S1-0120,EVT-2026S1-0040,EQ-CONV-003,2026-01-24T08:23:00Z,2026-01-24T11:07:00Z,corrective,monitoring,164,1.79,21.48,0,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1
MNT-2026S1-0121,EVT-2026S1-0262,EQ-CONV-282,2026-01-18T04:56:00Z,2026-01-18T07:41:00Z,inspection,resolved,165,4.07,48.81,0,Intervention préventive conforme au plan.,2026-S1
