equipment_id,equipment_type,site_id,commissioning_date,criticality,manufacturer,rated_power_kw
EQ-COMP-209,compressor,SITE-EST,2012-10-11,critical,MecaNova,75.7
EQ-COMP-213,compressor,SITE-NORD,2022-02-28,high,Valcor,80.1
EQ-COMP-229,compressor,SITE-EST,2012-11-24,medium,Aster Industrie,77.8
EQ-COMP-233,compressor,SITE-NORD,2009-12-20,medium,Aster Industrie,118.6
EQ-COMP-249,compressor,SITE-NORD,2023-11-26,high,Thermis,77.1
EQ-COMP-253,compressor,SITE-EST,2022-07-26,high,MecaNova,101.8
EQ-COMP-269,compressor,SITE-SUD,2019-04-25,medium,Valcor,94.8
EQ-COMP-273,compressor,SITE-SUD,2022-02-11,low,MecaNova,102.3
EQ-COMP-289,compressor,SITE-NORD,2012-08-14,low,Thermis,60.9
EQ-COMP-293,compressor,SITE-SUD,2006-03-21,critical,Aster Industrie,119.9
EQ-COMP-309,compressor,SITE-NORD,2009-06-03,high,MecaNova,93.8
EQ-COMP-313,compressor,SITE-NORD,2012-11-09,medium,Rotatek,99.1
EQ-COMP-329,compressor,SITE-SUD,2022-05-10,medium,Aster Industrie,87.0
EQ-COMP-333,compressor,SITE-NORD,2022-07-14,low,Thermis,109.8
EQ-COMP-349,compressor,SITE-SUD,2016-04-26,high,MecaNova,83.2
EQ-COMP-353,compressor,SITE-NORD,2024-03-29,high,MecaNova,74.4
EQ-COMP-369,compressor,SITE-SUD,2011-06-13,medium,Rotatek,100.8
EQ-COMP-373,compressor,SITE-NORD,2009-04-22,high,Rotatek,101.6
EQ-COMP-389,compressor,SITE-NORD,2011-04-07,low,Thermis,79.6
EQ-COMP-393,compressor,SITE-EST,2020-12-05,medium,Rotatek,115.2
EQ-COMP-396,compressor,SITE-NORD,2010-02-23,critical,Rotatek,91.8
EQ-CONV-001,conveyor,SITE-SUD,2011-07-19,high,Valcor,75.4
EQ-CONV-002,conveyor,SITE-NORD,2011-06-30,medium,MecaNova,64.3
EQ-CONV-003,conveyor,SITE-NORD,2011-04-03,medium,Valcor,85.0
EQ-CONV-004,conveyor,SITE-SUD,2014-12-18,medium,Valcor,67.1
EQ-CONV-005,conveyor,SITE-NORD,2006-02-06,medium,Thermis,54.6
EQ-CONV-102,conveyor,SITE-OUEST,2006-02-28,medium,Aster Industrie,74.2
EQ-CONV-116,conveyor,SITE-NORD,2014-10-12,medium,Thermis,82.2
EQ-CONV-122,conveyor,SITE-EST,2021-01-10,low,Valcor,66.7
EQ-CONV-126,conveyor,SITE-NORD,2024-01-09,medium,Aster Industrie,67.5
EQ-CONV-136,conveyor,SITE-SUD,2023-02-04,low,Valcor,33.7
EQ-CONV-137,conveyor,SITE-SUD,,high,Valcor,28.2
EQ-CONV-142,conveyor,SITE-EST,2020-07-10,low,Rotatek,57.6
EQ-CONV-148,conveyor,SITE-SUD,2006-11-06,medium,Thermis,58.9
EQ-CONV-156,conveyor,SITE-NORD,2020-12-01,high,Thermis,95.2
EQ-CONV-159,conveyor,SITE-EST,2019-05-14,low,Rotatek,50.5
EQ-CONV-162,conveyor,SITE-SUD,2008-05-25,medium,Aster Industrie,36.8
EQ-CONV-170,conveyor,SITE-NORD,2011-07-15,medium,Valcor,32.7
EQ-CONV-176,conveyor,SITE-EST,2016-02-03,medium,Valcor,48.9
EQ-CONV-182,conveyor,SITE-EST,2021-12-22,low,Valcor,44.6
EQ-CONV-196,conveyor,SITE-SUD,2008-02-20,high,Aster Industrie,49.4
EQ-CONV-202,conveyor,SITE-NORD,2007-06-26,low,Valcor,56.9
EQ-CONV-216,conveyor,SITE-NORD,2011-03-06,low,Valcor,65.7
EQ-CONV-222,conveyor,SITE-SUD,2014-06-28,low,Rotatek,36.8
EQ-CONV-236,conveyor,SITE-NORD,2019-06-11,medium,MecaNova,48.3
EQ-CONV-242,conveyor,SITE-EST,2013-01-31,medium,Thermis,73.0
EQ-CONV-256,conveyor,SITE-SUD,2009-06-01,medium,Rotatek,44.6
EQ-CONV-262,conveyor,SITE-NORD,2014-09-05,high,MecaNova,74.0
EQ-CONV-276,conveyor,SITE-SUD,2012-11-13,medium,MecaNova,66.8
EQ-CONV-282,conveyor,SITE-OUEST,2017-09-24,medium,Aster Industrie,62.9
EQ-CONV-296,conveyor,SITE-NORD,2019-05-20,critical,Rotatek,38.7
EQ-CONV-302,conveyor,SITE-SUD,2023-04-18,high,Thermis,67.4
EQ-CONV-316,conveyor,SITE-NORD,2013-12-08,medium,Aster Industrie,69.0
EQ-CONV-322,conveyor,SITE-NORD,2023-12-07,medium,Valcor,90.8
EQ-CONV-336,conveyor,SITE-NORD,2007-05-20,critical,MecaNova,47.5
EQ-CONV-342,conveyor,SITE-NORD,2009-12-31,low,Rotatek,39.3
EQ-CONV-356,conveyor,SITE-NORD,2011-05-18,high,Rotatek,66.8
EQ-CONV-362,conveyor,SITE-EST,2019-05-30,medium,Aster Industrie,35.7
EQ-CONV-376,conveyor,SITE-SUD,2008-01-30,high,Thermis,60.7
EQ-CONV-382,conveyor,SITE-NORD,2020-06-07,medium,Rotatek,59.3
EQ-CONV-396,conveyor,SITE-NORD,2013-07-15,high,Aster Industrie,24.1
EQ-DRYER-231,dryer,SITE-EST,2009-08-15,high,Thermis,39.8
EQ-DRYER-242,dryer,SITE-EST,2013-05-09,low,Thermis,51.5
EQ-DRYER-253,dryer,SITE-NORD,2016-09-23,high,Valcor,63.0
EQ-DRYER-264,dryer,SITE-OUEST,2014-01-18,high,Rotatek,66.8
EQ-DRYER-275,dryer,SITE-SUD,2014-05-12,low,Valcor,44.5
EQ-FAN-001,fan,SITE-EST,2011-09-29,medium,MecaNova,31.2
EQ-FAN-002,fan,SITE-EST,2016-05-28,high,MecaNova,37.7
EQ-FAN-003,fan,SITE-NORD,2010-12-26,critical,Rotatek,35.1
EQ-FAN-004,fan,SITE-SUD,2020-05-16,low,Rotatek,43.9
EQ-FAN-100,fan,SITE-NORD,2006-10-28,medium,Rotatek,44.4
EQ-FAN-104,fan,SITE-OUEST,2016-10-01,low,MecaNova,62.1
EQ-FAN-120,fan,SITE-OUEST,2006-10-25,high,Thermis,66.6
EQ-FAN-124,fan,SITE-OUEST,2009-10-07,medium,Aster Industrie,67.2
EQ-FAN-140,fan,SITE-SUD,2022-07-21,medium,Rotatek,90.1
EQ-FAN-144,fan,SITE-EST,2018-06-19,medium,MecaNova,67.2
EQ-FAN-160,fan,SITE-EST,2011-09-10,low,Valcor,46.2
EQ-FAN-164,fan,SITE-SUD,2008-05-14,high,Thermis,78.8
EQ-FAN-180,fan,SITE-EST,2013-12-17,high,,78.9
EQ-FAN-184,fan,SITE-SUD,2008-08-10,low,Aster Industrie,81.7
EQ-FAN-200,fan,SITE-EST,2015-11-24,low,Thermis,56.5
EQ-FAN-204,fan,SITE-EST,2021-12-10,critical,MecaNova,56.7
EQ-FAN-220,fan,SITE-SUD,2017-03-11,medium,Thermis,52.5
EQ-FAN-224,fan,SITE-NORD,2012-11-01,high,Thermis,59.1
EQ-FAN-240,fan,SITE-SUD,2018-09-01,high,Valcor,45.4
EQ-FAN-244,fan,SITE-NORD,2020-10-05,high,Aster Industrie,78.2
EQ-FAN-260,fan,SITE-NORD,2019-11-20,medium,MecaNova,74.3
EQ-FAN-264,fan,SITE-SUD,2020-01-13,high,Rotatek,51.3
EQ-FAN-280,fan,SITE-EST,2006-05-05,medium,MecaNova,53.7
EQ-FAN-284,fan,SITE-SUD,2023-01-08,medium,MecaNova,45.8
EQ-FAN-300,fan,SITE-NORD,2008-01-07,medium,Rotatek,48.6
EQ-FAN-304,fan,SITE-NORD,2014-05-12,high,Valcor,55.0
EQ-FAN-320,fan,SITE-EST,2022-10-16,medium,Valcor,58.6
EQ-FAN-324,fan,SITE-SUD,2008-04-25,high,Valcor,43.5
EQ-FAN-340,fan,SITE-NORD,2009-07-13,high,Thermis,50.8
EQ-FAN-344,fan,SITE-SUD,2012-12-15,medium,MecaNova,64.0
EQ-FAN-360,fan,SITE-SUD,2015-05-08,critical,Valcor,67.8
EQ-FAN-364,fan,SITE-OUEST,2024-11-11,medium,Rotatek,62.4
EQ-FAN-380,fan,SITE-NORD,2009-09-06,medium,Thermis,84.8
EQ-FAN-384,fan,SITE-SUD,2022-03-16,high,Aster Industrie,41.5
EQ-GEAR-121,gearbox,SITE-EST,2021-12-01,medium,Valcor,69.5
EQ-GEAR-132,gearbox,SITE-SUD,2021-02-13,high,Rotatek,72.6
EQ-GEAR-143,gearbox,SITE-NORD,2021-10-08,critical,Aster Industrie,52.0
EQ-GEAR-154,gearbox,SITE-SUD,2018-12-02,medium,Rotatek,78.0
EQ-GEAR-165,gearbox,SITE-SUD,2009-09-17,low,Aster Industrie,87.1
EQ-LIFT-286,lift,SITE-NORD,2010-12-23,medium,Valcor,75.7
EQ-LIFT-297,lift,SITE-NORD,2009-04-19,high,Aster Industrie,51.9
EQ-LIFT-308,lift,SITE-EST,2021-02-13,low,Rotatek,51.3
EQ-LIFT-319,lift,SITE-SUD,2007-12-03,critical,Rotatek,55.3
EQ-LIFT-330,lift,SITE-NORD,2022-06-06,medium,Thermis,55.7
EQ-MIX-001,mixer,SITE-NORD,2009-09-30,medium,Aster Industrie,48.7
EQ-MIX-002,mixer,SITE-NORD,2021-01-07,critical,Rotatek,68.3
EQ-MIX-119,mixer,SITE-SUD,2006-02-21,medium,Valcor,38.3
EQ-MIX-139,mixer,SITE-NORD,2015-04-09,low,MecaNova,45.6
EQ-MIX-159,mixer,SITE-NORD,2012-01-08,high,Thermis,61.2
EQ-MIX-179,mixer,SITE-NORD,2011-03-12,high,MecaNova,47.4
EQ-MIX-199,mixer,SITE-EST,2017-02-20,high,Valcor,41.5
EQ-MIX-219,mixer,SITE-EST,2015-01-11,critical,MecaNova,65.0
EQ-MIX-239,mixer,SITE-EST,2007-11-02,high,Valcor,49.6
EQ-MIX-259,mixer,SITE-NORD,2021-02-24,medium,MecaNova,41.9
EQ-MIX-261,mixer,SITE-NORD,2020-12-19,low,Aster Industrie,52.1
EQ-MIX-272,mixer,SITE-NORD,2022-09-06,high,Thermis,46.9
EQ-MIX-279,mixer,SITE-SUD,2011-10-11,high,MecaNova,72.4
EQ-MIX-283,mixer,SITE-SUD,2020-05-05,medium,MecaNova,100.0
EQ-MIX-294,mixer,SITE-NORD,2015-02-01,low,MecaNova,58.2
EQ-MIX-299,mixer,SITE-NORD,2011-06-24,medium,Rotatek,90.4
EQ-MIX-305,mixer,SITE-SUD,2010-08-21,medium,Rotatek,45.1
EQ-MIX-319,mixer,SITE-EST,2014-10-06,medium,Thermis,
EQ-MIX-339,mixer,SITE-OUEST,2024-11-04,high,Rotatek,28.0
EQ-MIX-359,mixer,SITE-NORD,2019-02-28,high,Aster Industrie,65.6
EQ-MIX-379,mixer,SITE-EST,2015-04-03,critical,MecaNova,44.0
EQ-MIX-399,mixer,SITE-NORD,2018-03-12,medium,MecaNova,50.7
EQ-MOTOR-311,motor,SITE-NORD,2019-01-16,high,MecaNova,48.0
EQ-MOTOR-322,motor,SITE-EST,2013-05-19,medium,Aster Industrie,43.1
EQ-MOTOR-333,motor,SITE-SUD,2009-09-25,medium,Valcor,44.7
EQ-MOTOR-344,motor,SITE-SUD,2018-04-02,medium,Rotatek,55.9
EQ-MOTOR-355,motor,SITE-NORD,2017-07-05,high,MecaNova,36.6
EQ-OVEN-001,oven,SITE-SUD,2007-02-11,critical,MecaNova,114.7
EQ-OVEN-002,oven,SITE-EST,2022-10-06,medium,Aster Industrie,191.4
EQ-OVEN-103,oven,SITE-NORD,2013-03-16,low,MecaNova,181.6
EQ-OVEN-106,oven,SITE-EST,2015-05-27,low,Thermis,126.4
EQ-OVEN-123,oven,SITE-SUD,2024-07-07,high,Rotatek,121.6
EQ-OVEN-126,oven,SITE-EST,2019-04-03,high,Valcor,189.0
EQ-OVEN-143,oven,SITE-SUD,2020-08-17,medium,Rotatek,111.9
EQ-OVEN-146,oven,SITE-NORD,2020-04-06,medium,Aster Industrie,125.1
EQ-OVEN-163,oven,SITE-NORD,2024-04-09,medium,Aster Industrie,179.1
EQ-OVEN-166,oven,SITE-SUD,2023-12-23,medium,Aster Industrie,141.2
EQ-OVEN-183,oven,SITE-NORD,2012-07-11,high,MecaNova,227.8
EQ-OVEN-186,oven,SITE-NORD,2012-12-22,high,Thermis,258.6
EQ-OVEN-203,oven,SITE-OUEST,2007-09-26,medium,Thermis,218.3
EQ-OVEN-206,oven,SITE-NORD,2015-01-23,medium,MecaNova,223.6
EQ-OVEN-223,oven,SITE-NORD,2013-02-17,medium,Thermis,202.3
EQ-OVEN-226,oven,SITE-EST,2008-02-19,low,Thermis,209.1
EQ-OVEN-243,oven,SITE-NORD,2023-02-05,high,Rotatek,223.9
EQ-OVEN-246,oven,SITE-NORD,2024-08-06,critical,MecaNova,192.7
EQ-OVEN-263,oven,SITE-SUD,2023-07-15,medium,Rotatek,201.0
EQ-OVEN-266,oven,SITE-EST,2014-10-04,critical,Thermis,144.0
EQ-OVEN-283,oven,SITE-EST,2010-03-17,critical,Valcor,204.9
EQ-OVEN-286,oven,SITE-NORD,2016-12-31,high,Rotatek,121.3
EQ-OVEN-303,oven,SITE-NORD,2023-11-01,low,Valcor,131.0
EQ-OVEN-306,oven,SITE-SUD,2014-01-11,medium,Rotatek,223.1
EQ-OVEN-323,oven,SITE-NORD,2009-03-16,medium,Aster Industrie,146.3
EQ-OVEN-326,oven,SITE-EST,2023-06-05,high,Thermis,208.5
EQ-OVEN-343,oven,SITE-NORD,2021-08-10,critical,MecaNova,236.3
EQ-OVEN-346,oven,SITE-SUD,2014-12-20,medium,Valcor,180.2
EQ-OVEN-363,oven,SITE-SUD,2023-06-01,low,Rotatek,155.0
EQ-OVEN-366,oven,SITE-NORD,2023-11-28,critical,Aster Industrie,266.8
EQ-OVEN-383,oven,SITE-NORD,2014-06-16,medium,MecaNova,121.4
EQ-OVEN-386,oven,SITE-SUD,2020-06-23,critical,Rotatek,154.1
EQ-PACK-176,packaging_machine,SITE-NORD,2008-03-11,high,Thermis,65.3
EQ-PACK-187,packaging_machine,SITE-EST,2023-10-20,high,Aster Industrie,47.7
EQ-PACK-198,packaging_machine,SITE-NORD,2019-06-20,medium,Rotatek,46.8
EQ-PACK-209,packaging_machine,SITE-EST,2009-05-06,medium,MecaNova,52.4
EQ-PACK-220,packaging_machine,SITE-EST,2013-11-17,critical,Valcor,50.8
EQ-PRESS-001,press,SITE-NORD,2011-02-17,high,Valcor,145.6
EQ-PRESS-002,press,SITE-EST,2020-08-03,low,Aster Industrie,104.0
EQ-PRESS-003,press,SITE-NORD,2023-07-02,low,MecaNova,131.8
EQ-PRESS-114,press,SITE-EST,2019-04-26,critical,Valcor,149.2
EQ-PRESS-117,press,SITE-EST,2021-07-21,medium,Valcor,149.9
EQ-PRESS-134,press,SITE-NORD,2024-01-06,medium,Rotatek,146.5
EQ-PRESS-137,press,SITE-NORD,2018-02-21,low,MecaNova,102.3
EQ-PRESS-154,press,SITE-EST,2017-06-25,high,Valcor,124.7
EQ-PRESS-157,press,SITE-NORD,2016-04-15,high,Valcor,132.6
EQ-PRESS-174,press,SITE-EST,2017-08-07,medium,Rotatek,73.5
EQ-PRESS-177,press,SITE-SUD,2006-01-04,low,Rotatek,153.9
EQ-PRESS-194,press,SITE-SUD,2007-08-08,medium,Thermis,173.3
EQ-PRESS-197,press,SITE-EST,2014-01-18,medium,MecaNova,141.9
EQ-PRESS-214,press,SITE-SUD,2018-03-14,medium,Valcor,117.2
EQ-PRESS-217,press,SITE-EST,2008-11-03,high,Valcor,137.8
EQ-PRESS-234,press,SITE-NORD,2023-08-23,high,Valcor,120.7
EQ-PRESS-237,press,SITE-SUD,2011-08-18,low,Rotatek,148.9
EQ-PRESS-254,press,SITE-EST,2023-12-17,medium,Thermis,69.4
EQ-PRESS-257,press,SITE-NORD,2006-08-28,medium,MecaNova,107.3
EQ-PRESS-274,press,SITE-SUD,2022-12-09,high,Valcor,99.6
EQ-PRESS-277,press,SITE-NORD,2020-09-02,high,MecaNova,159.9
EQ-PRESS-294,press,SITE-NORD,2015-06-06,medium,Thermis,119.3
EQ-PRESS-297,press,SITE-EST,2013-07-02,medium,Rotatek,91.7
EQ-PRESS-314,press,SITE-SUD,2010-09-17,low,MecaNova,108.3
EQ-PRESS-317,press,SITE-NORD,2007-01-11,medium,Thermis,95.0
EQ-PRESS-334,press,SITE-SUD,2015-09-27,low,Valcor,89.4
EQ-PRESS-337,press,SITE-SUD,2012-07-02,medium,Thermis,163.1
EQ-PRESS-354,press,SITE-NORD,2019-11-08,high,Rotatek,107.5
EQ-PRESS-357,press,SITE-SUD,2018-12-30,high,Valcor,117.2
EQ-PRESS-374,press,SITE-NORD,2010-06-01,high,Valcor,113.8
EQ-PRESS-377,press,SITE-EST,2008-11-12,medium,Thermis,68.0
EQ-PRESS-394,press,SITE-EST,2017-11-03,medium,Rotatek,140.1
EQ-PRESS-397,press,SITE-NORD,2017-05-22,medium,Valcor,163.7
EQ-PUMP-001,pump,SITE-NORD,2006-09-30,critical,Aster Industrie,50.6
EQ-PUMP-002,pump,SITE-OUEST,2014-07-17,critical,Aster Industrie,39.9
EQ-PUMP-003,pump,SITE-EST,2012-11-04,medium,Aster Industrie,33.5
EQ-PUMP-004,pump,SITE-EST,2020-04-13,high,Valcor,43.3
EQ-PUMP-005,pump,SITE-NORD,2017-12-07,medium,Thermis,56.6
EQ-PUMP-006,pump,SITE-NORD,2013-07-23,critical,Thermis,49.4
EQ-PUMP-107,pump,SITE-NORD,2018-12-20,medium,Rotatek,58.4
EQ-PUMP-110,pump,SITE-SUD,2013-02-23,high,Rotatek,51.1
EQ-PUMP-111,pump,SITE-NORD,2017-08-15,low,Thermis,56.3
EQ-PUMP-127,pump,SITE-NORD,2013-11-20,medium,Valcor,28.4
EQ-PUMP-130,pump,SITE-SUD,2007-09-03,high,Aster Industrie,64.8
EQ-PUMP-131,pump,SITE-SUD,2021-02-25,medium,Thermis,52.2
EQ-PUMP-147,pump,SITE-SUD,2011-10-31,low,Rotatek,29.7
EQ-PUMP-150,pump,SITE-EST,2011-01-19,medium,Rotatek,69.0
EQ-PUMP-151,pump,SITE-EST,2007-02-23,high,Valcor,44.3
EQ-PUMP-167,pump,SITE-NORD,2006-07-17,medium,MecaNova,27.7
EQ-PUMP-170,pump,SITE-NORD,2006-11-06,high,Thermis,14.8
EQ-PUMP-171,pump,SITE-SUD,2011-02-12,critical,Rotatek,44.4
EQ-PUMP-181,pump,SITE-SUD,2011-03-27,high,Aster Industrie,56.5
EQ-PUMP-187,pump,SITE-NORD,2013-01-19,medium,Aster Industrie,66.2
EQ-PUMP-190,pump,SITE-NORD,2017-01-15,critical,Valcor,36.4
EQ-PUMP-191,pump,SITE-SUD,2020-03-06,high,Rotatek,38.8
EQ-PUMP-192,pump,SITE-NORD,2023-05-20,medium,Aster Industrie,24.5
EQ-PUMP-203,pump,SITE-SUD,2006-02-22,low,Valcor,62.9
EQ-PUMP-207,pump,SITE-EST,2006-02-09,high,Rotatek,36.6
EQ-PUMP-210,pump,SITE-SUD,2013-07-31,high,Rotatek,39.7
EQ-PUMP-211,pump,SITE-NORD,2008-12-22,low,Rotatek,63.2
EQ-PUMP-214,pump,SITE-SUD,2014-01-12,medium,Thermis,39.3
EQ-PUMP-225,pump,SITE-SUD,2023-12-12,medium,Thermis,59.0
EQ-PUMP-227,pump,SITE-NORD,2010-11-01,high,Aster Industrie,41.6
EQ-PUMP-230,pump,SITE-OUEST,2015-01-17,low,Rotatek,46.4
EQ-PUMP-231,pump,SITE-NORD,2006-10-25,low,Valcor,53.0
EQ-PUMP-247,pump,SITE-SUD,2016-03-17,medium,Rotatek,57.6
EQ-PUMP-250,pump,SITE-EST,2010-08-10,critical,Aster Industrie,45.6
EQ-PUMP-251,pump,SITE-SUD,2008-02-17,low,Valcor,56.3
EQ-PUMP-267,pump,SITE-SUD,2012-07-12,medium,Valcor,32.9
EQ-PUMP-270,pump,SITE-NORD,2021-09-21,high,Valcor,35.2
EQ-PUMP-271,pump,SITE-SUD,2021-12-11,critical,MecaNova,43.5
EQ-PUMP-287,pump,SITE-NORD,2016-11-17,low,MecaNova,32.8
EQ-PUMP-290,pump,SITE-SUD,2009-10-29,low,MecaNova,27.1
EQ-PUMP-291,pump,SITE-NORD,2020-09-17,high,Rotatek,24.4
EQ-PUMP-307,pump,SITE-EST,2024-09-24,low,Valcor,24.0
EQ-PUMP-310,pump,SITE-SUD,2009-11-19,high,Rotatek,69.3
EQ-PUMP-311,pump,SITE-SUD,2006-10-27,medium,Rotatek,72.7
EQ-PUMP-327,pump,SITE-NORD,2021-06-25,medium,Thermis,49.0
EQ-PUMP-330,pump,SITE-SUD,2014-06-30,medium,Aster Industrie,31.9
EQ-PUMP-331,pump,SITE-NORD,2007-02-13,medium,MecaNova,64.2
EQ-PUMP-347,pump,SITE-NORD,2013-08-30,medium,Valcor,41.6
EQ-PUMP-350,pump,SITE-NORD,2022-09-15,high,Thermis,37.3
EQ-PUMP-351,pump,SITE-NORD,2007-07-03,high,MecaNova,51.0
EQ-PUMP-367,pump,SITE-EST,2016-08-26,high,Valcor,33.4
EQ-PUMP-370,pump,SITE-NORD,2017-04-16,medium,Valcor,41.6
EQ-PUMP-371,pump,SITE-NORD,2013-08-15,high,MecaNova,19.5
EQ-PUMP-387,pump,SITE-NORD,2007-04-01,medium,Aster Industrie,49.8
EQ-PUMP-390,pump,SITE-NORD,2020-05-04,high,Thermis,53.4
EQ-PUMP-391,pump,SITE-NORD,2019-03-12,medium,MecaNova,57.6
EQ-ROBOT-001,robot,SITE-NORD,2007-10-03,medium,Valcor,41.0
EQ-ROBOT-002,robot,SITE-SUD,2024-01-20,medium,Aster Industrie,40.6
EQ-ROBOT-003,robot,SITE-SUD,2018-11-10,medium,MecaNova,33.2
EQ-ROBOT-115,robot,SITE-NORD,2020-10-17,high,MecaNova,45.2
EQ-ROBOT-118,robot,SITE-NORD,2008-10-04,medium,Rotatek,41.2
EQ-ROBOT-135,robot,SITE-NORD,2009-01-19,low,Valcor,56.5
EQ-ROBOT-138,robot,SITE-NORD,2009-09-24,medium,Thermis,40.6
EQ-ROBOT-151,robot,SITE-NORD,2007-01-10,critical,Valcor,43.0
EQ-ROBOT-155,robot,SITE-SUD,2023-08-06,low,Valcor,34.6
EQ-ROBOT-158,robot,SITE-SUD,2016-06-18,medium,Valcor,30.3
EQ-ROBOT-162,robot,SITE-SUD,2010-09-01,high,Thermis,16.7
EQ-ROBOT-173,robot,SITE-OUEST,2018-02-18,medium,Thermis,52.0
EQ-ROBOT-175,robot,SITE-NORD,2017-12-07,high,Aster Industrie,27.9
EQ-ROBOT-178,robot,SITE-SUD,2021-03-05,medium,Thermis,27.3
EQ-ROBOT-184,robot,SITE-NORD,2013-05-11,medium,Aster Industrie,38.6
EQ-ROBOT-195,robot,SITE-NORD,2015-08-01,medium,Valcor,21.8
EQ-ROBOT-198,robot,SITE-EST,2009-11-03,low,MecaNova,49.7
EQ-ROBOT-215,robot,SITE-SUD,2018-07-26,high,Aster Industrie,23.3
EQ-ROBOT-218,robot,SITE-EST,2017-11-03,medium,Aster Industrie,25.5
EQ-ROBOT-235,robot,SITE-NORD,2006-01-25,medium,Rotatek,33.5
EQ-ROBOT-238,robot,SITE-NORD,2014-05-06,high,MecaNova,50.6
EQ-ROBOT-255,robot,SITE-NORD,2013-05-17,low,MecaNova,36.0
EQ-ROBOT-258,robot,SITE-NORD,2020-11-26,critical,Aster Industrie,37.2
