event_id,equipment_id,start_at,end_at,event_type,severity,period
EVT-2026S1-0060,EQ-FAN-160,2026-05-18T01:13:00Z,2026-05-18T12:36:00Z,observation,low,2026-S1
EVT-2026S1-0061,EQ-PUMP-171,2026-01-15T19:38:00Z,2026-01-17T02:01:00Z,incident,high,2026-S1
EVT-2026S1-0062,EQ-CONV-182,2026-01-13T09:06:00Z,2026-01-14T01:33:00Z,intervention,medium,2026-S1
EVT-2026S1-0064,EQ-FAN-204,2026-05-07T13:25:00Z,2026-05-08T05:41:00Z,incident,critical,2026-S1
EVT-2026S1-0065,EQ-ROBOT-215,2026-01-19T23:29:00Z,2026-01-21T05:33:00Z,observation,high,2026-S1
EVT-2026S1-0066,EQ-OVEN-226,2026-02-03T20:11:00Z,2026-02-04T21:07:00Z,incident,high,2026-S1
EVT-2026S1-0067,EQ-PRESS-237,2026-02-24T20:30:00Z,2026-02-25T00:16:00Z,alert,critical,2026-S1
EVT-2026S1-0068,EQ-CHILL-248,2026-03-15T04:21:00Z,2026-03-15T22:12:00Z,intervention,high,2026-S1
EVT-2026S1-0069,EQ-MIX-259,2026-01-07T15:48:00Z,2026-01-07T19:59:00Z,incident,medium,2026-S1
EVT-2026S1-0070,EQ-PUMP-270,2026-05-07T20:52:00Z,2026-05-07T21:13:00Z,observation,high,2026-S1
EVT-2026S1-0071,EQ-ROBOT-368,2026-03-17T07:37:00Z,2026-03-18T07:33:00Z,intervention,medium,2026-S1
EVT-2026S1-0073,EQ-OVEN-303,2026-05-21T09:54:00Z,2026-05-21T13:51:00Z,incident,low,2026-S1
EVT-2026S1-0074,EQ-PRESS-314,2026-05-22T17:19:00Z,2026-05-23T13:07:00Z,intervention,critical,2026-S1
EVT-2026S1-0076,EQ-CONV-336,2026-01-11T13:31:00Z,2026-01-12T08:18:00Z,incident,high,2026-S1
EVT-2026S1-0077,EQ-PUMP-347,2026-04-12T09:50:00Z,2026-04-12T20:30:00Z,observation,high,2026-S1
EVT-2026S1-0078,EQ-ROBOT-358,2026-01-23T22:34:00Z,2026-01-24T01:36:00Z,intervention,medium,2026-S1
EVT-2026S1-0079,EQ-COMP-369,2026-04-23T07:25:00Z,2026-04-23T18:52:00Z,observation,high,2026-S1
EVT-2026S1-0080,EQ-FAN-380,2026-03-06T07:11:00Z,2026-03-06T13:40:00Z,incident,low,2026-S1
EVT-2026S1-0081,EQ-PUMP-391,2026-05-30T09:46:00Z,2026-05-31T07:26:00Z,observation,high,2026-S1
EVT-2026S1-0082,EQ-CONV-102,2026-05-11T05:50:00Z,2026-05-12T05:17:00Z,incident,medium,2026-S1
EVT-2026S1-0083,EQ-COMP-113,2026-04-09T09:46:00Z,2026-04-10T05:53:00Z,observation,high,2026-S1
EVT-2026S1-0084,EQ-FAN-124,2026-02-04T10:58:00Z,2026-02-04T18:19:00Z,incident,critical,2026-S1
EVT-2026S1-0085,EQ-ROBOT-135,2026-01-21T06:56:00Z,2026-01-22T07:03:00Z,alert,high,2026-S1
EVT-2026S1-0086,EQ-OVEN-146,2026-06-14T21:56:00Z,2026-06-15T10:44:00Z,intervention,high,2026-S1
EVT-2026S1-0087,EQ-PRESS-157,2026-01-09T11:44:00Z,,observation,critical,2026-S1
EVT-2026S1-0088,EQ-CHILL-168,2026-06-07T15:47:00Z,2026-06-08T21:53:00Z,intervention,high,2026-S1
EVT-2026S1-0089,EQ-MIX-179,2026-06-19T13:33:00Z,2026-06-20T20:44:00Z,incident,medium,2026-S1
EVT-2026S1-0090,EQ-PUMP-190,2026-01-16T14:18:00Z,2026-01-16T16:21:00Z,incident,high,2026-S1
EVT-2026S1-0091,EQ-COMP-002,2026-04-17T20:17:00Z,2026-04-18T08:35:00Z,observation,medium,2026-S1
EVT-2026S1-0092,EQ-VALVE-200,2026-03-20T06:01:00Z,2026-03-21T04:51:00Z,observation,low,2026-S1
EVT-2026S1-0093,EQ-OVEN-223,2026-03-22T19:45:00Z,2026-03-23T20:48:00Z,incident,low,2026-S1
EVT-2026S1-0094,EQ-PRESS-234,2026-01-17T17:12:00Z,2026-01-18T02:22:00Z,incident,critical,2026-S1
EVT-2026S1-0095,EQ-SENSOR-245,2026-03-10T10:48:00Z,2026-03-11T18:54:00Z,alert,medium,2026-S1
EVT-2026S1-0096,EQ-CONV-256,2026-05-09T15:40:00Z,2026-05-10T05:28:00Z,incident,high,2026-S1
EVT-2026S1-0097,EQ-PUMP-267,2026-05-05T12:33:00Z,2026-05-06T03:10:00Z,observation,high,2026-S1
EVT-2026S1-0098,EQ-ROBOT-278,2026-01-29T21:57:00Z,2026-01-29T22:33:00Z,incident,medium,2026-S1
EVT-2026S1-0099,EQ-COMP-289,2026-02-03T03:52:00Z,2026-02-03T09:16:00Z,observation,high,2026-S1
EVT-2026S1-0100,EQ-FAN-300,2026-06-16T15:14:00Z,2026-06-17T22:18:00Z,intervention,low,2026-S1
EVT-2026S1-0101,EQ-PUMP-311,2026-06-14T14:27:00Z,2026-06-15T10:45:00Z,observation,high,2026-S1
EVT-2026S1-0103,EQ-COMP-333,2026-02-14T00:42:00Z,2026-02-15T07:25:00Z,alert,high,2026-S1
EVT-2026S1-0104,EQ-FAN-344,2026-05-29T08:03:00Z,2026-05-30T04:34:00Z,incident,critical,2026-S1
EVT-2026S1-0105,EQ-ROBOT-355,2026-04-09T17:47:00Z,,observation,high,2026-S1
EVT-2026S1-0106,EQ-OVEN-366,2026-04-08T20:14:00Z,2026-04-09T17:22:00Z,incident,high,2026-S1
EVT-2026S1-0107,EQ-PRESS-377,2026-05-22T17:25:00Z,2026-05-23T14:54:00Z,intervention,critical,2026-S1
EVT-2026S1-0109,EQ-MIX-399,2026-06-10T02:34:00Z,2026-06-10T16:28:00Z,incident,medium,2026-S1
EVT-2026S1-0110,EQ-PUMP-110,2026-04-11T03:38:00Z,2026-04-12T09:38:00Z,incident,high,2026-S1
EVT-2026S1-0112,EQ-CONV-142,2026-05-24T11:38:00Z,2026-05-25T20:19:00Z,incident,low,2026-S1
EVT-2026S1-0113,EQ-OVEN-143,2026-04-26T21:01:00Z,2026-04-28T03:13:00Z,incident,low,2026-S1
EVT-2026S1-0114,EQ-PRESS-154,2026-03-05T06:24:00Z,2026-03-05T20:32:00Z,incident,critical,2026-S1
EVT-2026S1-0115,EQ-SENSOR-165,2026-04-17T19:50:00Z,2026-04-17T23:18:00Z,alert,medium,2026-S1
EVT-2026S1-0116,EQ-CONV-176,2026-04-21T20:13:00Z,2026-04-23T00:00:00Z,intervention,high,2026-S1
EVT-2026S1-0117,EQ-PUMP-187,2026-05-09T12:50:00Z,2026-05-10T04:48:00Z,intervention,high,2026-S1
EVT-2026S1-0118,EQ-ROBOT-198,2026-01-06T10:39:00Z,2026-01-06T22:26:00Z,intervention,medium,2026-S1
EVT-2026S1-0119,EQ-COMP-209,2026-02-28T03:35:00Z,2026-02-28T04:53:00Z,intervention,high,2026-S1
EVT-2026S1-0120,EQ-FAN-220,2026-05-24T07:01:00Z,2026-05-25T18:03:00Z,incident,low,2026-S1
EVT-2026S1-0121,EQ-PUMP-231,2026-02-06T14:25:00Z,2026-02-07T13:04:00Z,intervention,high,2026-S1
EVT-2026S1-0122,EQ-CONV-242,2026-02-28T04:12:00Z,2026-02-28T08:59:00Z,intervention,medium,2026-S1
EVT-2026S1-0124,EQ-FAN-264,2026-01-20T00:27:00Z,2026-01-21T07:16:00Z,incident,critical,2026-S1
EVT-2026S1-0125,EQ-ROBOT-275,2026-04-08T02:28:00Z,2026-04-08T12:22:00Z,incident,high,2026-S1
EVT-2026S1-0126,EQ-OVEN-286,2026-04-29T19:22:00Z,2026-05-01T01:27:00Z,intervention,high,2026-S1
EVT-2026S1-0127,EQ-PRESS-297,2026-05-28T09:19:00Z,2026-05-29T04:58:00Z,observation,critical,2026-S1
EVT-2026S1-0128,EQ-CHILL-308,2026-05-25T21:40:00Z,2026-05-27T06:28:00Z,incident,high,2026-S1
EVT-2026S1-0129,EQ-MIX-319,2026-06-15T02:23:00Z,2026-06-15T23:34:00Z,alert,medium,2026-S1
EVT-2026S1-0130,EQ-PUMP-330,2026-03-04T02:09:00Z,2026-03-04T02:31:00Z,incident,high,2026-S1
EVT-2026S1-0131,EQ-EXTRA-420,2026-06-12T00:26:00Z,2026-06-12T15:24:00Z,incident,medium,2026-S1
EVT-2026S1-0133,EQ-OVEN-363,2026-02-16T01:03:00Z,2026-02-16T16:35:00Z,intervention,low,2026-S1
EVT-2026S1-0134,EQ-PRESS-374,2026-02-13T19:24:00Z,2026-02-14T10:37:00Z,observation,critical,2026-S1
EVT-2026S1-0136,EQ-CONV-396,2026-02-24T13:15:00Z,2026-02-25T06:58:00Z,incident,high,2026-S1
EVT-2026S1-0137,EQ-PUMP-107,2026-01-08T08:03:00Z,,observation,high,2026-S1
EVT-2026S1-0138,EQ-ROBOT-118,2026-04-22T16:48:00Z,2026-04-22T21:38:00Z,observation,medium,2026-S1
EVT-2026S1-0139,EQ-COMP-129,2026-05-31T11:20:00Z,2026-06-01T19:26:00Z,incident,high,2026-S1
EVT-2026S1-0140,EQ-FAN-140,2026-03-30T04:16:00Z,2026-03-31T14:50:00Z,observation,low,2026-S1
EVT-2026S1-0141,EQ-PUMP-151,2026-04-19T00:00:00Z,2026-04-20T04:49:00Z,observation,high,2026-S1
EVT-2026S1-0142,EQ-CONV-162,2026-06-18T09:46:00Z,2026-06-18T12:54:00Z,intervention,medium,2026-S1
EVT-2026S1-0143,EQ-COMP-173,2026-02-19T16:20:00Z,2026-02-20T02:34:00Z,incident,high,2026-S1
EVT-2026S1-0144,EQ-FAN-184,2026-03-13T10:39:00Z,2026-03-13T12:51:00Z,incident,critical,2026-S1
EVT-2026S1-0145,EQ-ROBOT-195,2026-06-03T06:49:00Z,2026-06-04T09:29:00Z,incident,high,2026-S1
EVT-2026S1-0146,EQ-OVEN-206,2026-04-11T03:10:00Z,2026-04-11T06:44:00Z,intervention,high,2026-S1
EVT-2026S1-0147,EQ-PRESS-217,2026-04-22T20:50:00Z,2026-04-23T19:09:00Z,intervention,critical,2026-S1
EVT-2026S1-0148,EQ-CHILL-228,2026-05-14T15:24:00Z,2026-05-15T02:59:00Z,intervention,high,2026-S1
EVT-2026S1-0149,EQ-MIX-239,2026-03-14T15:28:00Z,2026-03-16T00:04:00Z,alert,medium,2026-S1
EVT-2026S1-0150,EQ-PUMP-250,2026-06-04T18:05:00Z,2026-06-06T01:14:00Z,incident,high,2026-S1
EVT-2026S1-0151,EQ-CAB-134,2026-06-18T21:39:00Z,2026-06-19T01:31:00Z,incident,medium,2026-S1
EVT-2026S1-0152,EQ-PUMP-291,2026-03-09T18:02:00Z,2026-03-10T21:14:00Z,incident,low,2026-S1
EVT-2026S1-0153,EQ-OVEN-283,2026-03-05T04:44:00Z,2026-03-06T01:19:00Z,observation,low,2026-S1
EVT-2026S1-0154,EQ-PRESS-294,2026-02-01T00:09:00Z,2026-02-01T06:26:00Z,alert,critical,2026-S1
EVT-2026S1-0155,EQ-SENSOR-305,2026-01-14T06:09:00Z,,observation,medium,2026-S1
EVT-2026S1-0156,EQ-CONV-316,2026-02-28T13:46:00Z,2026-03-01T15:25:00Z,observation,high,2026-S1
EVT-2026S1-0157,EQ-PUMP-327,2026-06-14T15:27:00Z,2026-06-15T18:02:00Z,incident,high,2026-S1
EVT-2026S1-0158,EQ-ROBOT-338,2026-03-01T14:33:00Z,2026-03-01T15:55:00Z,alert,medium,2026-S1
EVT-2026S1-0159,EQ-COMP-349,2026-01-14T11:48:00Z,2026-01-15T14:00:00Z,incident,high,2026-S1
EVT-2026S1-0160,EQ-FAN-360,2026-05-31T20:34:00Z,2026-06-01T07:18:00Z,incident,low,2026-S1
EVT-2026S1-0161,EQ-PUMP-371,2026-03-30T12:46:00Z,2026-03-31T04:14:00Z,observation,high,2026-S1
EVT-2026S1-0162,EQ-CONV-382,2026-03-01T06:19:00Z,2026-03-02T01:10:00Z,incident,medium,2026-S1
EVT-2026S1-0163,EQ-COMP-393,2026-04-13T20:17:00Z,2026-04-14T19:55:00Z,incident,high,2026-S1
EVT-2026S1-0164,EQ-FAN-104,2026-01-07T13:04:00Z,,observation,critical,2026-S1
EVT-2026S1-0165,EQ-ROBOT-115,2026-05-15T08:13:00Z,2026-05-15T08:30:00Z,incident,high,2026-S1
EVT-2026S1-0166,EQ-OVEN-126,2026-01-27T00:14:00Z,2026-01-27T20:07:00Z,observation,high,2026-S1
EVT-2026S1-0167,EQ-PRESS-137,2026-02-25T13:00:00Z,2026-02-25T14:27:00Z,observation,critical,2026-S1
EVT-2026S1-0169,EQ-MIX-159,2026-01-12T19:58:00Z,2026-01-13T10:35:00Z,incident,medium,2026-S1
EVT-2026S1-0170,EQ-PUMP-170,2026-03-05T00:59:00Z,2026-03-05T13:32:00Z,alert,high,2026-S1
EVT-2026S1-0172,EQ-OVEN-223,2026-06-13T09:59:00Z,2026-06-14T07:54:00Z,incident,low,2026-S1
EVT-2026S1-0173,EQ-OVEN-203,2026-06-21T04:09:00Z,2026-06-21T16:00:00Z,intervention,low,2026-S1
EVT-2026S1-0174,EQ-PRESS-214,2026-04-30T13:28:00Z,2026-05-01T06:14:00Z,observation,critical,2026-S1
EVT-2026S1-0175,EQ-SENSOR-225,2026-03-21T00:10:00Z,2026-03-21T02:45:00Z,intervention,medium,2026-S1
EVT-2026S1-0176,EQ-CONV-236,2026-03-13T13:02:00Z,2026-03-15T00:10:00Z,incident,high,2026-S1
EVT-2026S1-0177,EQ-PUMP-247,2026-01-31T14:54:00Z,2026-02-01T09:24:00Z,observation,high,2026-S1
EVT-2026S1-0178,EQ-ROBOT-258,2026-06-19T12:04:00Z,2026-06-19T21:58:00Z,incident,medium,2026-S1
EVT-2026S1-0179,EQ-COMP-269,2026-02-13T16:44:00Z,2026-02-13T18:23:00Z,observation,high,2026-S1
EVT-2026S1-0181,EQ-PUMP-291,2026-06-03T12:33:00Z,2026-06-04T12:51:00Z,alert,high,2026-S1
EVT-2026S1-0182,EQ-CONV-302,2026-01-17T03:16:00Z,2026-01-17T13:31:00Z,alert,medium,2026-S1
EVT-2026S1-0184,EQ-FAN-324,2026-05-23T15:20:00Z,2026-05-25T00:21:00Z,incident,critical,2026-S1
EVT-2026S1-0185,EQ-ROBOT-335,2026-01-05T11:23:00Z,2026-01-06T11:50:00Z,intervention,high,2026-S1
EVT-2026S1-0186,EQ-OVEN-346,2026-03-30T02:54:00Z,2026-03-31T10:38:00Z,incident,high,2026-S1
EVT-2026S1-0187,EQ-PRESS-357,2026-04-24T16:39:00Z,2026-04-25T17:04:00Z,incident,critical,2026-S1
EVT-2026S1-0188,EQ-CHILL-368,2026-01-16T09:05:00Z,2026-01-17T10:59:00Z,alert,high,2026-S1
EVT-2026S1-0189,EQ-MIX-379,2026-02-24T19:49:00Z,2026-02-25T16:00:00Z,incident,medium,2026-S1
EVT-2026S1-0190,EQ-PUMP-390,2026-03-27T01:27:00Z,2026-03-27T16:46:00Z,incident,high,2026-S1
EVT-2026S1-0191,EQ-EXTRA-405,2026-01-24T17:58:00Z,2026-01-25T11:17:00Z,incident,medium,2026-S1
EVT-2026S1-0193,EQ-OVEN-123,2026-01-23T14:33:00Z,2026-01-24T12:33:00Z,observation,low,2026-S1
EVT-2026S1-0194,EQ-PRESS-134,2026-01-23T00:18:00Z,2026-01-23T04:49:00Z,incident,critical,2026-S1
EVT-2026S1-0196,EQ-CONV-156,2026-01-03T15:08:00Z,2026-01-05T00:21:00Z,incident,high,2026-S1
EVT-2026S1-0197,EQ-PUMP-167,2026-01-06T08:07:00Z,2026-01-07T08:22:00Z,incident,high,2026-S1
EVT-2026S1-0198,EQ-ROBOT-178,2026-01-27T00:06:00Z,2026-01-28T00:57:00Z,incident,medium,2026-S1
EVT-2026S1-0199,EQ-COMP-189,2026-04-12T16:49:00Z,2026-04-13T23:10:00Z,intervention,high,2026-S1
EVT-2026S1-0200,EQ-FAN-200,2026-02-14T23:19:00Z,2026-02-15T10:48:00Z,incident,low,2026-S1
EVT-2026S1-0201,EQ-PUMP-211,2026-03-26T12:36:00Z,2026-03-27T11:14:00Z,incident,high,2026-S1
EVT-2026S1-0202,EQ-CONV-222,2026-03-07T20:37:00Z,2026-03-08T18:17:00Z,observation,medium,2026-S1
EVT-2026S1-0203,EQ-COMP-233,2026-05-20T22:24:00Z,2026-05-21T05:19:00Z,intervention,high,2026-S1
EVT-2026S1-0204,EQ-FAN-244,2026-01-19T12:19:00Z,2026-01-20T18:49:00Z,alert,critical,2026-S1
EVT-2026S1-0205,EQ-ROBOT-255,2026-01-05T18:22:00Z,2026-01-05T22:42:00Z,intervention,high,2026-S1
EVT-2026S1-0206,EQ-OVEN-266,2026-05-08T17:35:00Z,2026-05-09T12:46:00Z,observation,high,2026-S1
EVT-2026S1-0207,EQ-PRESS-277,2026-05-27T02:40:00Z,2026-05-27T13:41:00Z,incident,critical,2026-S1
EVT-2026S1-0208,EQ-CHILL-288,2026-05-03T07:59:00Z,2026-05-04T08:17:00Z,incident,high,2026-S1
EVT-2026S1-0209,EQ-MIX-299,2026-01-24T13:19:00Z,2026-01-25T16:59:00Z,intervention,medium,2026-S1
EVT-2026S1-0210,EQ-PUMP-310,2026-01-26T12:07:00Z,2026-01-27T23:58:00Z,incident,high,2026-S1
EVT-2026S1-0211,EQ-OVEN-103,2026-06-19T18:21:00Z,2026-06-21T04:24:00Z,incident,medium,2026-S1
EVT-2026S1-0212,EQ-VALVE-316,2026-06-18T18:08:00Z,2026-06-18T22:47:00Z,incident,low,2026-S1
EVT-2026S1-0213,EQ-OVEN-343,2026-05-06T04:14:00Z,2026-05-07T10:12:00Z,observation,low,2026-S1
EVT-2026S1-0214,EQ-PRESS-354,2026-01-21T06:58:00Z,2026-01-21T16:19:00Z,intervention,critical,2026-S1
EVT-2026S1-0215,EQ-SENSOR-365,2026-06-10T18:55:00Z,2026-06-11T15:26:00Z,incident,medium,2026-S1
EVT-2026S1-0216,EQ-CONV-376,2026-05-31T06:21:00Z,2026-06-01T02:03:00Z,observation,high,2026-S1
EVT-2026S1-0217,EQ-PUMP-387,2026-05-03T17:49:00Z,2026-05-05T05:40:00Z,incident,high,2026-S1
EVT-2026S1-0218,EQ-ROBOT-398,2026-06-05T04:43:00Z,2026-06-06T12:07:00Z,alert,medium,2026-S1
EVT-2026S1-0219,EQ-COMP-109,2026-01-18T19:17:00Z,2026-01-19T17:58:00Z,incident,high,2026-S1
EVT-2026S1-0220,EQ-FAN-120,2026-03-29T23:22:00Z,2026-03-30T23:14:00Z,observation,low,2026-S1
EVT-2026S1-0221,EQ-PUMP-131,2026-03-27T14:10:00Z,2026-03-28T03:56:00Z,observation,high,2026-S1
EVT-2026S1-0222,EQ-CONV-142,2026-06-06T17:06:00Z,2026-06-06T22:26:00Z,observation,medium,2026-S1
EVT-2026S1-0223,EQ-COMP-153,2026-02-25T19:02:00Z,2026-02-26T00:56:00Z,incident,high,2026-S1
EVT-2026S1-0224,EQ-FAN-164,2026-04-01T11:17:00Z,2026-04-02T09:49:00Z,incident,critical,2026-S1
EVT-2026S1-0225,EQ-ROBOT-175,2026-01-20T20:08:00Z,2026-01-21T04:25:00Z,incident,high,2026-S1
EVT-2026S1-0226,EQ-OVEN-186,2026-03-03T08:18:00Z,2026-03-03T21:38:00Z,observation,high,2026-S1
EVT-2026S1-0227,EQ-PRESS-197,2026-06-09T21:19:00Z,2026-06-10T20:11:00Z,intervention,critical,2026-S1
EVT-2026S1-0229,EQ-MIX-219,2026-02-21T05:16:00Z,2026-02-22T05:56:00Z,incident,medium,2026-S1
EVT-2026S1-0230,EQ-PUMP-230,2026-01-27T22:13:00Z,2026-01-28T02:15:00Z,incident,high,2026-S1
EVT-2026S1-0232,EQ-FAN-284,2026-04-15T13:30:00Z,2026-04-16T02:19:00Z,incident,low,2026-S1
EVT-2026S1-0233,EQ-OVEN-263,2026-05-11T18:50:00Z,2026-05-11T23:31:00Z,intervention,low,2026-S1
EVT-2026S1-0234,EQ-PRESS-274,2026-04-16T21:44:00Z,2026-04-17T11:58:00Z,incident,critical,2026-S1
EVT-2026S1-0235,EQ-SENSOR-285,2026-05-14T12:23:00Z,2026-05-14T18:45:00Z,incident,medium,2026-S1
EVT-2026S1-0236,EQ-CONV-296,2026-01-18T17:34:00Z,2026-01-19T06:20:00Z,incident,high,2026-S1
EVT-2026S1-0237,EQ-PUMP-307,2026-03-14T01:43:00Z,2026-03-15T13:04:00Z,observation,high,2026-S1
