event_id,equipment_id,start_at,end_at,event_type,severity,period
EVT-2026S1-B029,EQ-M2X-005,2026-05-15T15:00:00Z,2026-05-15T23:38:00Z,incident,low,2026-S1
EVT-2026S1-B030,EQ-M2X-006,2026-05-16T02:00:00Z,2026-05-16T10:55:00Z,intervention,medium,2026-S1
EVT-2026S1-B031,EQ-M2X-007,2026-05-16T13:00:00Z,2026-05-16T13:32:00Z,observation,high,2026-S1
EVT-2026S1-B032,EQ-M2X-008,2026-05-17T00:00:00Z,2026-05-17T00:49:00Z,alert,critical,2026-S1
EVT-2026S1-B033,EQ-M2X-009,2026-05-17T11:00:00Z,2026-05-17T12:06:00Z,incident,low,2026-S1
EVT-2026S1-B034,EQ-M2X-010,2026-05-17T22:00:00Z,2026-05-17T23:23:00Z,intervention,medium,2026-S1
EVT-2026S1-B035,EQ-M2X-011,2026-05-18T09:00:00Z,2026-05-18T10:40:00Z,observation,high,2026-S1
EVT-2026S1-B036,EQ-M2X-012,2026-05-18T20:00:00Z,2026-05-18T21:57:00Z,alert,critical,2026-S1
EVT-2026S1-B037,EQ-M2X-013,2026-05-19T07:00:00Z,2026-05-19T09:14:00Z,incident,low,2026-S1
EVT-2026S1-B038,EQ-M2X-014,2026-05-19T18:00:00Z,2026-05-19T20:31:00Z,intervention,medium,2026-S1
EVT-2026S1-B039,EQ-M2X-015,2026-05-20T05:00:00Z,2026-05-20T07:48:00Z,observation,high,2026-S1
EVT-2026S1-B040,EQ-M2X-016,2026-05-20T16:00:00Z,2026-05-20T19:05:00Z,alert,critical,2026-S1
EVT-2026S1-B041,EQ-M2X-017,2026-05-21T03:00:00Z,2026-05-21T06:22:00Z,incident,low,2026-S1
EVT-2026S1-B042,EQ-M2X-018,2026-05-21T14:00:00Z,2026-05-21T17:39:00Z,intervention,medium,2026-S1
EVT-2026S1-B043,EQ-M2X-019,2026-05-22T01:00:00Z,2026-05-22T04:56:00Z,observation,high,2026-S1
EVT-2026S1-B044,EQ-M2X-020,2026-05-22T12:00:00Z,2026-05-22T16:13:00Z,alert,critical,2026-S1
EVT-2026S1-B045,EQ-M2X-021,2026-05-22T23:00:00Z,2026-05-23T03:30:00Z,incident,low,2026-S1
EVT-2026S1-B046,EQ-M2X-022,2026-05-23T10:00:00Z,2026-05-23T14:47:00Z,intervention,medium,2026-S1
EVT-2026S1-B047,EQ-M2X-023,2026-05-23T21:00:00Z,2026-05-24T02:04:00Z,observation,high,2026-S1
EVT-2026S1-B048,EQ-M2X-024,2026-05-24T08:00:00Z,2026-05-24T13:21:00Z,alert,critical,2026-S1
EVT-2026S1-B049,EQ-M2X-001,2026-05-24T19:00:00Z,2026-05-25T00:38:00Z,incident,low,2026-S1
EVT-2026S1-B050,EQ-M2X-002,2026-05-25T06:00:00Z,2026-05-25T11:55:00Z,intervention,medium,2026-S1
EVT-2026S1-B051,EQ-M2X-003,2026-05-25T17:00:00Z,2026-05-25T23:12:00Z,observation,high,2026-S1
EVT-2026S1-B052,EQ-M2X-004,2026-05-26T04:00:00Z,2026-05-26T10:29:00Z,alert,critical,2026-S1
EVT-2026S1-B053,EQ-M2X-005,2026-05-26T15:00:00Z,2026-05-26T21:46:00Z,incident,low,2026-S1
EVT-2026S1-B054,EQ-M2X-006,2026-05-27T02:00:00Z,2026-05-27T09:03:00Z,intervention,medium,2026-S1
EVT-2026S1-B055,EQ-M2X-007,2026-05-27T13:00:00Z,2026-05-27T20:20:00Z,observation,high,2026-S1
EVT-2026S1-B056,EQ-M2X-008,2026-05-28T00:00:00Z,2026-05-28T07:37:00Z,alert,critical,2026-S1
EVT-2026S1-B057,EQ-M2X-009,2026-05-28T11:00:00Z,2026-05-28T18:54:00Z,incident,low,2026-S1
EVT-2026S1-B058,EQ-M2X-010,2026-05-28T22:00:00Z,2026-05-29T06:11:00Z,intervention,medium,2026-S1
EVT-2026S1-B059,EQ-M2X-011,2026-05-29T09:00:00Z,2026-05-29T17:28:00Z,observation,high,2026-S1
EVT-2026S1-B060,EQ-M2X-012,2026-05-29T20:00:00Z,2026-05-30T04:45:00Z,alert,critical,2026-S1
EVT-2026S1-B061,EQ-M2X-013,2026-05-30T07:00:00Z,2026-05-30T16:02:00Z,incident,low,2026-S1
EVT-2026S1-B062,EQ-M2X-014,2026-05-30T18:00:00Z,2026-05-30T18:39:00Z,intervention,medium,2026-S1
EVT-2026S1-B063,EQ-M2X-015,2026-05-31T05:00:00Z,2026-05-31T05:56:00Z,observation,high,2026-S1
EVT-2026S1-B064,EQ-M2X-016,2026-05-31T16:00:00Z,2026-05-31T17:13:00Z,alert,critical,2026-S1
EVT-2026S1-B065,EQ-M2X-017,2026-06-01T03:00:00Z,2026-06-01T04:30:00Z,incident,low,2026-S1
EVT-2026S1-B066,EQ-M2X-018,2026-06-01T14:00:00Z,2026-06-01T15:47:00Z,intervention,medium,2026-S1
EVT-2026S1-B067,EQ-M2X-019,2026-06-02T01:00:00Z,2026-06-02T03:04:00Z,observation,high,2026-S1
EVT-2026S1-B068,EQ-M2X-020,2026-06-02T12:00:00Z,2026-06-02T14:21:00Z,alert,critical,2026-S1
EVT-2026S1-B069,EQ-M2X-021,2026-06-02T23:00:00Z,2026-06-03T01:38:00Z,incident,low,2026-S1
EVT-2026S1-B070,EQ-M2X-022,2026-06-03T10:00:00Z,2026-06-03T12:55:00Z,intervention,medium,2026-S1
EVT-2026S1-B071,EQ-M2X-023,2026-06-03T21:00:00Z,2026-06-04T00:12:00Z,observation,high,2026-S1
EVT-2026S1-B072,EQ-M2X-024,2026-06-04T08:00:00Z,2026-06-04T11:29:00Z,alert,critical,2026-S1
EVT-2026S1-B073,EQ-M2X-001,2026-06-04T19:00:00Z,2026-06-04T22:46:00Z,incident,low,2026-S1
EVT-2026S1-B074,EQ-M2X-002,2026-06-05T06:00:00Z,2026-06-05T10:03:00Z,intervention,medium,2026-S1
EVT-2026S1-B075,EQ-M2X-003,2026-06-05T17:00:00Z,2026-06-05T21:20:00Z,observation,high,2026-S1
EVT-2026S1-B076,EQ-M2X-004,2026-06-06T04:00:00Z,2026-06-06T08:37:00Z,alert,critical,2026-S1
EVT-2026S1-B077,EQ-M2X-005,2026-06-06T15:00:00Z,2026-06-06T19:54:00Z,incident,low,2026-S1
EVT-2026S1-B078,EQ-M2X-006,2026-06-07T02:00:00Z,2026-06-07T07:11:00Z,intervention,medium,2026-S1
EVT-2026S1-B079,EQ-M2X-007,2026-06-07T13:00:00Z,2026-06-07T18:28:00Z,observation,high,2026-S1
EVT-2026S1-B080,EQ-M2X-008,2026-06-08T00:00:00Z,2026-06-08T05:45:00Z,alert,critical,2026-S1
