annotation_id,report_id,equipment_id,event_id,expected_severity,predicted_severity,severity_correct,expected_human_review,predicted_human_review,human_review_correct,schema_valid,latency_seconds,error_types
ANN-2026S1-0254,RPT-2026S1-0254,EQ-PRESS-194,EVT-2026S1-0254,critical,critical,True,True,True,True,True,4.6326894159428775,none
ANN-2026S1-0245,RPT-2026S1-0245,EQ-ROBOT-395,EVT-2026S1-0245,high,high,True,True,True,True,True,5.086698375176638,none
ANN-2026S1-0210,RPT-2026S1-0210,EQ-PUMP-310,EVT-2026S1-0210,high,high,True,True,True,True,True,4.648558332817629,none
ANN-2026S1-0056,RPT-2026S1-0056,EQ-CONV-116,EVT-2026S1-0056,high,high,True,True,True,True,True,5.128016042057425,none
ANN-2026S1-0035,RPT-2026S1-0035,EQ-MIX-001,EVT-2026S1-0035,low,light,False,False,True,False,False,4.427767667220905,schema|severity|human_review
ANN-2026S1-0355,RPT-2026S1-0355,EQ-SENSOR-105,EVT-2026S1-0355,medium,medium,True,True,True,True,True,4.9752555408049375,none
ANN-2026S1-0281,RPT-2026S1-0281,EQ-PUMP-191,EVT-2026S1-0281,high,high,True,True,True,True,True,5.260862458962947,none
ANN-2026S1-0060,RPT-2026S1-0060,EQ-FAN-160,EVT-2026S1-0060,low,low,True,False,False,True,True,4.417749915970489,none
ANN-2026S1-0244,RPT-2026S1-0244,EQ-FAN-384,EVT-2026S1-0244,critical,high,False,True,True,True,True,4.771989291999489,severity
ANN-2026S1-0387,RPT-2026S1-0387,EQ-PRESS-157,EVT-2026S1-0387,critical,medium,False,True,True,True,True,4.338048625038937,severity
ANN-2026S1-0290,RPT-2026S1-0290,EQ-PUMP-290,EVT-2026S1-0290,high,high,True,True,True,True,True,4.762036541942507,none
ANN-2026S1-0231,RPT-2026S1-0231,,,medium,medium,True,True,True,True,True,4.127977167023346,none
ANN-2026S1-0381,RPT-2026S1-0381,EQ-PUMP-391,EVT-2026S1-0381,high,high,True,True,True,True,True,4.849442082922906,none
ANN-2026S1-0030,RPT-2026S1-0030,EQ-OVEN-001,EVT-2026S1-0030,low,low,True,False,False,True,True,4.225101541029289,none
ANN-2026S1-0332,RPT-2026S1-0332,,EVT-2026S1-0332,low,low,True,True,True,True,True,4.115373957902193,none
ANN-2026S1-0241,RPT-2026S1-0241,EQ-PUMP-351,EVT-2026S1-0241,high,high,True,True,True,True,True,5.2448345420416445,none
ANN-2026S1-0098,RPT-2026S1-0098,EQ-ROBOT-278,EVT-2026S1-0098,medium,medium,True,True,True,True,True,4.934305583126843,none
ANN-2026S1-0323,RPT-2026S1-0323,EQ-COMP-353,EVT-2026S1-0323,high,high,True,True,True,True,True,4.606508333003148,none
ANN-2026S1-0144,RPT-2026S1-0144,EQ-FAN-184,EVT-2026S1-0144,critical,high,False,True,True,True,True,4.618085583206266,severity
ANN-2026S1-0176,RPT-2026S1-0176,EQ-CONV-236,EVT-2026S1-0176,high,high,True,True,True,True,True,5.571111666038632,none
ANN-2026S1-0067,RPT-2026S1-0067,EQ-PRESS-237,EVT-2026S1-0067,critical,high,False,True,True,True,True,4.335429749917239,severity
ANN-2026S1-0352,RPT-2026S1-0352,,EVT-2026S1-0352,low,low,True,True,True,True,True,4.6304741660133,none
ANN-2026S1-0046,RPT-2026S1-0046,EQ-OVEN-306,EVT-2026S1-0046,high,high,True,True,True,True,True,5.1772380829788744,none
ANN-2026S1-0228,RPT-2026S1-0228,EQ-CHILL-208,,high,high,True,True,True,True,True,5.33182020788081,none
ANN-2026S1-0145,RPT-2026S1-0145,EQ-ROBOT-195,EVT-2026S1-0145,high,high,True,True,True,True,True,5.223964124917984,none
ANN-2026S1-0214,RPT-2026S1-0214,EQ-PRESS-354,EVT-2026S1-0214,critical,critical,True,True,True,True,True,4.631610542070121,none
ANN-2026S1-0076,RPT-2026S1-0076,EQ-CONV-336,EVT-2026S1-0076,high,high,True,True,True,True,True,5.180918625090271,none
ANN-2026S1-0375,RPT-2026S1-0375,EQ-SENSOR-325,,medium,medium,True,True,True,True,True,4.985992208123207,none
ANN-2026S1-0336,RPT-2026S1-0336,EQ-CONV-196,EVT-2026S1-0336,high,high,True,True,True,True,True,5.338788833934814,none
ANN-2026S1-0089,RPT-2026S1-0089,EQ-MIX-179,EVT-2026S1-0089,medium,medium,True,True,True,True,True,4.830994541989639,none
ANN-2026S1-0386,RPT-2026S1-0386,EQ-OVEN-146,EVT-2026S1-0386,high,high,True,True,True,True,True,4.944343958981335,none
ANN-2026S1-0027,RPT-2026S1-0027,EQ-PUMP-002,EVT-2026S1-0027,low,medium,False,True,True,True,True,4.156477750046179,severity
ANN-2026S1-0073,RPT-2026S1-0073,EQ-OVEN-303,EVT-2026S1-0073,low,low,True,False,False,True,True,4.307782624848187,none
ANN-2026S1-0181,RPT-2026S1-0181,EQ-PUMP-291,EVT-2026S1-0181,high,high,True,True,True,True,True,5.178454834036529,none
ANN-2026S1-0032,RPT-2026S1-0032,EQ-PUMP-005,EVT-2026S1-0032,high,high,True,True,True,True,True,4.8858367500361055,none
ANN-2026S1-0327,RPT-2026S1-0327,EQ-PRESS-397,EVT-2026S1-0327,critical,medium,False,True,True,True,True,4.231827249983326,severity
ANN-2026S1-0131,RPT-2026S1-0131,,EVT-2026S1-0131,medium,medium,True,True,True,True,True,4.117308415938169,none
ANN-2026S1-0128,RPT-2026S1-0128,EQ-CHILL-308,EVT-2026S1-0128,high,high,True,True,True,True,True,5.117289291927591,none
ANN-2026S1-0124,RPT-2026S1-0124,EQ-FAN-264,EVT-2026S1-0124,critical,high,False,True,True,True,True,4.5531802081968635,severity
ANN-2026S1-0249,RPT-2026S1-0249,EQ-MIX-139,EVT-2026S1-0249,medium,medium,True,True,True,True,True,4.86097220890224,none
ANN-2026S1-0334,RPT-2026S1-0334,EQ-PRESS-174,EVT-2026S1-0334,critical,critical,True,True,True,True,True,4.637953917030245,none
ANN-2026S1-0011,RPT-2026S1-0011,EQ-CONV-001,EVT-2026S1-0011,medium,high,False,True,True,True,True,4.503658500034362,severity
ANN-2026S1-0066,RPT-2026S1-0066,EQ-OVEN-226,EVT-2026S1-0066,high,high,True,True,True,True,True,4.745066124945879,none
ANN-2026S1-0346,RPT-2026S1-0346,EQ-OVEN-306,EVT-2026S1-0346,high,high,True,True,True,True,True,5.020656417123973,none
ANN-2026S1-0350,RPT-2026S1-0350,EQ-PUMP-350,EVT-2026S1-0350,high,high,True,True,True,True,True,4.626616582972929,none
ANN-2026S1-0285,RPT-2026S1-0285,EQ-ROBOT-235,EVT-2026S1-0285,high,high,True,True,True,True,True,5.037386874901131,none
ANN-2026S1-0065,RPT-2026S1-0065,EQ-ROBOT-215,EVT-2026S1-0065,high,high,True,True,True,True,True,4.991908583091572,none
ANN-2026S1-0163,RPT-2026S1-0163,EQ-COMP-393,EVT-2026S1-0163,high,high,True,True,True,True,True,4.491201624972746,none
ANN-2026S1-0086,RPT-2026S1-0086,EQ-OVEN-146,EVT-2026S1-0086,high,high,True,True,True,True,True,5.1935730839613825,none
